Name,Type,Country,Matches,Wickets,Overs,Average,Economy,Strike Rate,Wk/over,Ov/Mtch,Wkpermatch,Balls,Top,Middle,Lower,CBR
"Larsen, Gavin Rolf",MF,New Zealand,8,24,327.83,28.71,2.1,81.96,0.073208675228015,40.97875,3,1967,29.2,37.5,33.3,5.73369707256521
Liaqat Ali,MF,Pakistan,5,5,116,59.83,2.67,134.67,0.043103448275862,23.2,1,696,33.3,50,16.7,7.52499394674203
"Marsh, Mitchell R",MF,Australia,19,29,311.16,37.28,3.47,64.38,0.093199640056563,16.3768421052632,1.52631578947368,1867,20.7,58.6,20.7,9.07602313329046
"McMillan, Brian M",MF,South Africa,38,75,1009,33.83,2.51,80.72,0.074331020812686,26.5526315789474,1.97368421052632,6054,40,48,12,6.81269387602156
Mohammad Shahid,MF,Bangladesh,5,5,105,57.6,2.74,126,0.047619047619048,21,1,630,60,40,0,7.68716078933452
Mohammed Sharif,MF,Bangladesh,10,14,275.16,79,4.02,117.93,0.050879488297718,27.516,1.4,1651,50,35.7,14.3,11.1154727691138
Naved-ul-Hasan,MF,Pakistan,9,18,260.83,58,4,86.94,0.069010466587433,28.9811111111111,2,1565,44.4,27.8,27.8,10.7625803054988
"Nehra, Ashish",MF,India,17,44,574.5,42.41,3.25,78.34,0.076588337684944,33.7941176470588,2.58823529411765,3447,36.4,40.9,22.7,8.72000440988405
"Nkala, Mluleki L",MF,Zimbabwe,10,11,242,66.09,3,132,0.045454545454546,24.2,1.1,1452,54.5,36.4,9.1,8.42602018641039
"Onions, Graham",MF,England,9,32,267.66,29.91,3.58,50.19,0.119554658895614,29.74,3.55555555555556,1606,40.6,25,34.4,9.01747051370658
"Patel, Munaf M",MF,India,13,35,443,38.54,3.05,75.94,0.079006772009029,34.0769230769231,2.69230769230769,2658,25.7,45.7,28.6,8.1747386085669
"Pathan, Irfan K",MF,India,29,100,980.66,32.26,3.29,58.84,0.101972141211021,33.8158620689655,3.44827586206897,5884,47,34,19,8.5240652307064
"Perera, N L Thissara C",MF,Sri Lanka,6,11,159,59.36,4.11,86.73,0.069182389937107,26.5,1.83333333333333,954,54.5,36.4,9.1,11.0421833747521
"Prabhakar, Manoj M",MF,India,39,96,1245.83,37.3,2.87,77.86,0.077057062360033,31.944358974359,2.46153846153846,7475,47.9,24,28.1,7.73025984707269
"Pringle, Derek R",MF,England,30,70,881.16,35.97,2.86,75.53,0.079440737210041,29.372,2.33333333333333,5287,21.4,40,38.6,7.67870128646596
"Sammy, Darren J G",MF,West Indies,38,84,1035.83,35.8,2.9,73.99,0.081094388075263,27.2586842105263,2.21052631578947,6215,42.9,34.5,22.6,7.76646977166943
